top,bottom,outer,weather,recommended
shirt,trousers,jacket,rain,1
t-shirt,legging,jacket,clear,1
t-shirt,shorts,sweater,rain,0
t-shirt,skirt,sweater,clear,1
t-shirt,cargo,jacket,clear,1
shirt,trousers,jacket,clear,1
dress,skirt,blazer,snow,1
shirt,shorts,sweater,clouds,1
t-shirt,trousers,hoodie,windy,1
dress,none,jacket,rain,1
shirt,jogger,blazer,rain,1
t-shirt,cargo,jacket,clouds,1
shirt,jeans,hoodie,clouds,1
t-shirt,shorts,none,clouds,0
t-shirt,jogger,jacket,rain,1
t-shirt,cargo,none,clear,1
t-shirt,trousers,blazer,rain,1
t-shirt,shorts,jacket,clouds,1
shirt,jogger,sweater,thunderstorm,1
shirt,skirt,sweater,clear,1
dress,none,sweater,clouds,1
t-shirt,cargo,sweater,clear,1
dress,shorts,blazer,snow,1
shirt,skirt,hoodie,clear,1
t-shirt,cargo,coat,clear,1
shirt,legging,sweater,thunderstorm,0
dress,trousers,jacket,snow,0
shirt,trousers,hoodie,clear,1
t-shirt,shorts,jacket,rain,0
shirt,trousers,coat,thunderstorm,0
t-shirt,cargo,none,windy,0
shirt,jeans,sweater,rain,1
t-shirt,legging,blazer,rain,1
shirt,jogger,coat,thunderstorm,0
shirt,cargo,coat,rain,1
shirt,jogger,coat,rain,1
shirt,skirt,none,clouds,1
shirt,skirt,sweater,thunderstorm,1
shirt,jeans,sweater,thunderstorm,1
shirt,cargo,none,clouds,1
t-shirt,skirt,sweater,clouds,1
t-shirt,trousers,hoodie,clear,1
t-shirt,jogger,none,windy,0
dress,jeans,jacket,snow,0
t-shirt,jogger,blazer,rain,1
t-shirt,skirt,coat,rain,0
shirt,legging,coat,thunderstorm,0
t-shirt,trousers,jacket,clouds,1
dress,shorts,jacket,snow,0
t-shirt,jeans,sweater,clouds,1
shirt,jogger,coat,clouds,1
shirt,jeans,none,rain,0
t-shirt,skirt,none,clouds,1
shirt,legging,blazer,rain,0
shirt,jogger,none,clear,1
dress,jogger,blazer,snow,1
t-shirt,cargo,hoodie,clouds,1
shirt,trousers,blazer,clouds,1
t-shirt,shorts,coat,clear,1
t-shirt,jogger,jacket,clouds,1
t-shirt,jeans,none,clear,1
t-shirt,legging,hoodie,clear,1
shirt,legging,coat,thunderstorm,0
shirt,legging,sweater,clear,0
shirt,trousers,none,clear,1
t-shirt,trousers,hoodie,windy,1
t-shirt,skirt,blazer,clouds,1
shirt,jogger,sweater,thunderstorm,1
shirt,legging,none,clouds,0
dress,none,hoodie,clear,1
shirt,jeans,blazer,clear,1
dress,shorts,jacket,snow,0
t-shirt,shorts,coat,clouds,1
dress,trousers,blazer,snow,1
shirt,skirt,blazer,rain,0
shirt,shorts,sweater,thunderstorm,1
shirt,shorts,coat,clear,1
dress,jogger,jacket,snow,0
shirt,shorts,sweater,thunderstorm,1
t-shirt,jeans,none,rain,0
shirt,jogger,jacket,clouds,1
t-shirt,jogger,none,clouds,1
shirt,cargo,blazer,rain,1
shirt,skirt,coat,thunderstorm,0
t-shirt,jogger,none,windy,0
shirt,cargo,sweater,rain,1
dress,none,blazer,clear,1
shirt,jeans,coat,clouds,1
t-shirt,skirt,jacket,rain,0
shirt,jeans,hoodie,clear,1
t-shirt,jogger,hoodie,windy,1
shirt,jeans,sweater,clear,1
t-shirt,shorts,none,windy,0
t-shirt,legging,coat,clouds,1
shirt,skirt,sweater,thunderstorm,1
t-shirt,trousers,none,rain,0
dress,trousers,blazer,snow,1
t-shirt,jeans,jacket,clouds,1
shirt,skirt,coat,thunderstorm,0
dress,none,hoodie,clouds,1
t-shirt,legging,jacket,rain,1
shirt,shorts,jacket,clouds,1
shirt,cargo,blazer,clouds,1
t-shirt,cargo,none,clouds,1
dress,skirt,jacket,snow,0
shirt,cargo,coat,clouds,1
t-shirt,legging,none,windy,0
t-shirt,legging,hoodie,rain,1
shirt,jogger,none,rain,0
shirt,skirt,coat,rain,0
t-shirt,jeans,blazer,clouds,1
shirt,shorts,hoodie,clouds,1
t-shirt,legging,coat,rain,1
shirt,skirt,sweater,thunderstorm,1
shirt,jogger,sweater,clear,1
t-shirt,trousers,coat,clear,1
shirt,cargo,sweater,thunderstorm,1
dress,jogger,blazer,snow,1
shirt,shorts,none,clouds,0
t-shirt,jeans,hoodie,clouds,1
shirt,trousers,blazer,clear,1
t-shirt,trousers,hoodie,rain,1
t-shirt,legging,none,windy,0
shirt,jeans,coat,clear,1
dress,trousers,blazer,snow,1
shirt,skirt,jacket,clear,1
t-shirt,jogger,sweater,clear,1
t-shirt,cargo,hoodie,windy,1
dress,none,jacket,clear,1
t-shirt,jeans,hoodie,windy,1
shirt,jeans,coat,thunderstorm,0
shirt,shorts,coat,thunderstorm,0
dress,skirt,blazer,snow,1
shirt,skirt,jacket,clouds,1
shirt,skirt,hoodie,rain,0
shirt,cargo,none,rain,0
t-shirt,skirt,blazer,clear,1
dress,none,none,clear,1
shirt,legging,none,clear,0
shirt,jogger,sweater,clouds,1
t-shirt,trousers,none,clouds,1
t-shirt,legging,none,windy,0
t-shirt,legging,blazer,clear,1
shirt,legging,jacket,clouds,0
t-shirt,cargo,none,windy,0
dress,jeans,jacket,snow,0
t-shirt,trousers,none,windy,0
t-shirt,skirt,none,windy,0
t-shirt,shorts,hoodie,clouds,1
t-shirt,jeans,jacket,clear,1
shirt,trousers,sweater,clouds,1
t-shirt,jogger,sweater,clouds,1
shirt,jogger,coat,clear,1
shirt,jeans,none,clear,1
shirt,jeans,sweater,thunderstorm,1
dress,none,hoodie,rain,1
shirt,legging,blazer,clear,0
shirt,legging,coat,clouds,0
t-shirt,shorts,hoodie,windy,1
shirt,trousers,coat,clear,1
shirt,legging,hoodie,rain,0
shirt,shorts,blazer,clouds,1
dress,jogger,blazer,snow,1
t-shirt,shorts,jacket,clear,1
t-shirt,legging,hoodie,windy,1
shirt,trousers,coat,thunderstorm,0
shirt,skirt,coat,clouds,1
t-shirt,shorts,hoodie,rain,0
t-shirt,jeans,hoodie,windy,1
shirt,legging,none,rain,0
t-shirt,skirt,none,rain,0
t-shirt,trousers,none,windy,0
shirt,jeans,none,clouds,1
t-shirt,jeans,blazer,clear,1
dress,skirt,jacket,snow,0
shirt,trousers,coat,clouds,1
dress,none,sweater,clear,1
t-shirt,jeans,hoodie,windy,1
shirt,trousers,hoodie,rain,1
shirt,trousers,sweater,thunderstorm,1
t-shirt,jogger,none,rain,0
t-shirt,skirt,hoodie,windy,1
t-shirt,trousers,coat,rain,1
t-shirt,jogger,hoodie,clear,1
shirt,cargo,blazer,clear,1
t-shirt,legging,sweater,rain,1
t-shirt,legging,jacket,clouds,1
shirt,jeans,blazer,rain,1
shirt,shorts,none,rain,0
shirt,legging,sweater,rain,0
t-shirt,skirt,hoodie,clouds,1
t-shirt,cargo,sweater,clouds,1
t-shirt,skirt,none,windy,0
t-shirt,jogger,none,windy,0
t-shirt,jogger,blazer,clouds,1
t-shirt,cargo,blazer,clear,1
shirt,skirt,none,clear,1
dress,none,none,clouds,1
t-shirt,cargo,jacket,rain,1
t-shirt,jogger,blazer,clear,1
shirt,shorts,sweater,thunderstorm,1
shirt,jeans,sweater,thunderstorm,1
t-shirt,trousers,sweater,clouds,1
shirt,skirt,none,rain,0
dress,cargo,jacket,snow,0
shirt,legging,hoodie,clear,0
t-shirt,shorts,hoodie,clear,1
dress,cargo,blazer,snow,1
dress,none,sweater,rain,1
t-shirt,shorts,sweater,clear,1
shirt,jogger,sweater,thunderstorm,1
shirt,cargo,sweater,clouds,1
shirt,trousers,sweater,clear,1
dress,cargo,jacket,snow,0
shirt,shorts,jacket,clear,1
t-shirt,skirt,jacket,clouds,1
shirt,cargo,hoodie,clouds,1
shirt,shorts,none,clear,1
t-shirt,jogger,coat,rain,1
shirt,trousers,none,rain,0
shirt,shorts,hoodie,rain,0
t-shirt,trousers,jacket,clear,1
shirt,jogger,hoodie,clear,1
t-shirt,jeans,none,windy,0
shirt,legging,jacket,rain,0
t-shirt,jeans,none,windy,0
t-shirt,cargo,hoodie,clear,1
t-shirt,skirt,hoodie,clear,1
dress,legging,blazer,snow,1
t-shirt,shorts,blazer,clouds,1
t-shirt,skirt,hoodie,windy,1
t-shirt,cargo,blazer,clouds,1
t-shirt,jogger,hoodie,rain,1
shirt,trousers,jacket,clouds,1
shirt,skirt,hoodie,clouds,1
shirt,cargo,hoodie,rain,1
t-shirt,jogger,sweater,rain,1
shirt,jeans,hoodie,rain,1
t-shirt,legging,blazer,clouds,1
shirt,skirt,sweater,rain,0
dress,legging,jacket,snow,0
shirt,trousers,sweater,thunderstorm,1
shirt,skirt,blazer,clear,1
dress,shorts,jacket,snow,0
shirt,trousers,coat,thunderstorm,0
t-shirt,jeans,hoodie,clear,1
shirt,legging,jacket,clear,0
shirt,shorts,hoodie,clear,1
shirt,legging,coat,thunderstorm,0
shirt,shorts,coat,thunderstorm,0
t-shirt,legging,none,clear,1
t-shirt,cargo,hoodie,windy,1
t-shirt,jogger,hoodie,windy,1
dress,trousers,jacket,snow,0
t-shirt,trousers,none,clear,1
shirt,jogger,jacket,clear,1
t-shirt,legging,none,clouds,1
shirt,trousers,coat,rain,1
shirt,skirt,coat,clear,1
shirt,cargo,sweater,clear,1
dress,legging,jacket,snow,0
t-shirt,skirt,coat,clear,1
shirt,jeans,jacket,clouds,1
t-shirt,cargo,none,rain,0
dress,none,coat,rain,1
t-shirt,cargo,coat,rain,1
t-shirt,skirt,hoodie,rain,0
shirt,legging,coat,clear,0
shirt,shorts,sweater,rain,0
t-shirt,skirt,none,clear,1
dress,none,coat,clouds,1
t-shirt,cargo,sweater,rain,1
t-shirt,trousers,blazer,clear,1
t-shirt,jogger,coat,clear,1
shirt,jeans,coat,rain,1
dress,jogger,jacket,snow,0
t-shirt,trousers,sweater,rain,1
dress,legging,jacket,snow,0
t-shirt,shorts,sweater,clouds,1
shirt,shorts,sweater,thunderstorm,1
t-shirt,shorts,none,windy,0
shirt,trousers,hoodie,clouds,1
dress,jeans,blazer,snow,1
t-shirt,skirt,hoodie,windy,1
shirt,skirt,coat,thunderstorm,0
t-shirt,jogger,jacket,clear,1
t-shirt,jeans,blazer,rain,1
t-shirt,cargo,hoodie,rain,1
t-shirt,trousers,blazer,clouds,1
shirt,cargo,jacket,clear,1
dress,cargo,jacket,snow,0
shirt,cargo,coat,clear,1
t-shirt,skirt,coat,clouds,1
t-shirt,jeans,sweater,rain,1
t-shirt,cargo,blazer,rain,1
t-shirt,legging,hoodie,windy,1
t-shirt,jeans,coat,clear,1
t-shirt,shorts,blazer,clear,1
shirt,jogger,jacket,rain,1
shirt,jeans,coat,thunderstorm,0
t-shirt,legging,sweater,clouds,1
dress,cargo,blazer,snow,1
shirt,cargo,none,clear,1
t-shirt,shorts,none,windy,0
shirt,jogger,coat,thunderstorm,0
t-shirt,shorts,none,clear,1
t-shirt,jogger,hoodie,windy,1
t-shirt,jeans,none,clouds,1
shirt,skirt,sweater,clouds,1
t-shirt,jogger,coat,clouds,1
t-shirt,trousers,none,windy,0
shirt,cargo,jacket,clouds,1
t-shirt,trousers,jacket,rain,1
dress,legging,blazer,snow,1
shirt,shorts,sweater,clear,1
shirt,shorts,coat,clouds,1
t-shirt,jeans,none,windy,0
shirt,jogger,hoodie,rain,1
shirt,cargo,hoodie,clear,1
t-shirt,legging,none,rain,0
shirt,jeans,sweater,clouds,1
dress,skirt,blazer,snow,1
dress,jeans,blazer,snow,1
shirt,jeans,blazer,clouds,1
