top,bottom,outer,styleTop,styleBottom,styleOuter,styleUser,userLike
t-shirt,jogger,sweater,formal,casual,formal,vintage,0
shirt,legging,jacket,casual,sporty,vintage,vintage,0
t-shirt,jogger,coat,vintage,vintage,streetwear,vintage,1
shirt,cargo,hoodie,vintage,casual,sporty,vintage,0
shirt,shorts,jacket,vintage,vintage,formal,streetwear,0
t-shirt,skirt,sweater,streetwear,casual,vintage,streetwear,0
shirt,cargo,jacket,casual,vintage,casual,sporty,0
t-shirt,skirt,blazer,vintage,sporty,streetwear,streetwear,0
t-shirt,shorts,blazer,casual,vintage,sporty,sporty,0
shirt,trousers,blazer,formal,sporty,sporty,sporty,1
shirt,jogger,sweater,casual,casual,formal,casual,1
t-shirt,jogger,hoodie,casual,streetwear,streetwear,streetwear,1
t-shirt,jogger,coat,casual,sporty,sporty,vintage,0
shirt,shorts,sweater,casual,streetwear,vintage,streetwear,0
shirt,jeans,hoodie,vintage,sporty,streetwear,sporty,0
t-shirt,shorts,coat,streetwear,casual,sporty,sporty,0
shirt,shorts,sweater,formal,vintage,formal,formal,1
shirt,shorts,coat,vintage,vintage,sporty,formal,0
t-shirt,cargo,sweater,sporty,streetwear,sporty,sporty,1
shirt,jogger,sweater,formal,formal,formal,formal,1
t-shirt,trousers,jacket,streetwear,vintage,casual,streetwear,0
t-shirt,cargo,blazer,sporty,streetwear,sporty,sporty,1
t-shirt,skirt,blazer,casual,casual,sporty,formal,0
t-shirt,skirt,hoodie,sporty,formal,sporty,sporty,1
shirt,skirt,sweater,formal,sporty,formal,formal,1
t-shirt,skirt,sweater,casual,sporty,streetwear,streetwear,0
shirt,trousers,jacket,streetwear,streetwear,streetwear,streetwear,1
dress,none,hoodie,casual,casual,formal,casual,1
t-shirt,shorts,sweater,streetwear,casual,casual,casual,1
t-shirt,cargo,blazer,sporty,casual,sporty,streetwear,0
shirt,jeans,blazer,vintage,sporty,sporty,sporty,1
shirt,shorts,hoodie,vintage,vintage,streetwear,vintage,1
t-shirt,jogger,hoodie,casual,formal,casual,sporty,0
t-shirt,cargo,hoodie,vintage,vintage,streetwear,streetwear,0
shirt,jogger,jacket,formal,formal,sporty,formal,1
t-shirt,jogger,coat,vintage,vintage,casual,vintage,1
dress,none,blazer,casual,sporty,vintage,sporty,0
dress,none,jacket,formal,formal,formal,formal,1
t-shirt,cargo,jacket,casual,streetwear,formal,formal,0
shirt,cargo,hoodie,sporty,vintage,sporty,sporty,1
t-shirt,shorts,coat,sporty,casual,sporty,casual,0
dress,none,sweater,vintage,streetwear,streetwear,streetwear,1
t-shirt,jogger,hoodie,casual,vintage,sporty,vintage,0
shirt,shorts,hoodie,streetwear,casual,sporty,sporty,0
shirt,jogger,coat,casual,vintage,casual,casual,1
t-shirt,jeans,blazer,casual,casual,casual,casual,1
t-shirt,skirt,hoodie,sporty,vintage,vintage,casual,0
shirt,jogger,jacket,casual,streetwear,casual,formal,0
t-shirt,shorts,blazer,casual,vintage,vintage,vintage,1
t-shirt,legging,sweater,formal,casual,formal,formal,1
shirt,legging,hoodie,streetwear,formal,streetwear,streetwear,1
t-shirt,jogger,jacket,formal,formal,formal,vintage,0
t-shirt,skirt,sweater,streetwear,vintage,casual,casual,0
dress,none,hoodie,casual,formal,casual,casual,1
shirt,trousers,blazer,vintage,casual,formal,vintage,0
t-shirt,skirt,blazer,vintage,vintage,casual,streetwear,0
t-shirt,cargo,jacket,casual,vintage,sporty,vintage,0
t-shirt,legging,sweater,streetwear,formal,formal,formal,1
shirt,skirt,sweater,streetwear,sporty,casual,streetwear,0
dress,none,sweater,streetwear,streetwear,casual,streetwear,1
t-shirt,legging,coat,sporty,sporty,formal,sporty,1
shirt,trousers,sweater,formal,sporty,casual,sporty,0
shirt,cargo,jacket,casual,streetwear,casual,casual,1
t-shirt,cargo,blazer,sporty,formal,sporty,vintage,0
t-shirt,shorts,hoodie,sporty,streetwear,sporty,sporty,1
shirt,skirt,sweater,streetwear,casual,casual,vintage,0
t-shirt,legging,coat,casual,streetwear,casual,casual,1
shirt,cargo,coat,vintage,vintage,formal,vintage,1
dress,none,sweater,casual,formal,formal,formal,1
dress,none,sweater,streetwear,sporty,streetwear,streetwear,1
t-shirt,jogger,sweater,casual,vintage,casual,casual,1
t-shirt,shorts,hoodie,casual,vintage,casual,casual,1
shirt,skirt,blazer,vintage,casual,casual,vintage,0
t-shirt,jogger,sweater,sporty,streetwear,sporty,vintage,0
t-shirt,trousers,blazer,streetwear,formal,vintage,formal,0
shirt,skirt,coat,casual,sporty,casual,streetwear,0
t-shirt,jeans,blazer,formal,vintage,vintage,vintage,1
shirt,trousers,jacket,casual,formal,formal,formal,1
t-shirt,legging,hoodie,streetwear,vintage,vintage,vintage,1
shirt,cargo,jacket,streetwear,formal,streetwear,sporty,0
shirt,skirt,blazer,vintage,formal,vintage,vintage,1
shirt,trousers,hoodie,formal,vintage,vintage,vintage,1
t-shirt,trousers,hoodie,sporty,sporty,vintage,sporty,1
shirt,jeans,blazer,vintage,streetwear,sporty,streetwear,0
shirt,skirt,jacket,sporty,streetwear,streetwear,sporty,0
dress,none,jacket,streetwear,vintage,streetwear,casual,0
t-shirt,jogger,blazer,sporty,sporty,casual,sporty,1
t-shirt,legging,blazer,casual,formal,vintage,vintage,0
t-shirt,cargo,blazer,formal,casual,casual,vintage,0
t-shirt,cargo,sweater,sporty,vintage,vintage,vintage,1
t-shirt,shorts,jacket,formal,casual,streetwear,casual,0
shirt,shorts,jacket,formal,casual,casual,casual,1
shirt,shorts,hoodie,sporty,formal,formal,formal,1
shirt,skirt,sweater,vintage,vintage,casual,casual,0
shirt,jeans,hoodie,sporty,sporty,formal,sporty,1
shirt,legging,hoodie,sporty,formal,vintage,formal,0
shirt,jeans,blazer,streetwear,streetwear,casual,streetwear,1
shirt,shorts,jacket,streetwear,vintage,formal,streetwear,0
shirt,legging,blazer,sporty,streetwear,vintage,sporty,0
t-shirt,jeans,hoodie,sporty,streetwear,sporty,sporty,1
shirt,shorts,blazer,casual,sporty,vintage,sporty,0
shirt,shorts,hoodie,sporty,sporty,casual,vintage,0
t-shirt,jogger,sweater,sporty,casual,sporty,sporty,1
t-shirt,jogger,hoodie,streetwear,casual,casual,casual,1
dress,none,sweater,streetwear,streetwear,vintage,streetwear,1
shirt,legging,coat,formal,streetwear,formal,formal,1
t-shirt,cargo,hoodie,sporty,sporty,casual,sporty,1
shirt,legging,sweater,streetwear,formal,streetwear,sporty,0
t-shirt,shorts,coat,formal,sporty,sporty,casual,0
t-shirt,trousers,sweater,vintage,vintage,streetwear,vintage,1
t-shirt,jogger,hoodie,vintage,streetwear,streetwear,streetwear,1
shirt,skirt,coat,vintage,casual,streetwear,streetwear,0
shirt,legging,jacket,sporty,sporty,sporty,sporty,1
shirt,trousers,blazer,formal,vintage,vintage,formal,0
t-shirt,shorts,jacket,formal,casual,formal,formal,1
shirt,trousers,jacket,sporty,sporty,vintage,sporty,1
shirt,trousers,coat,vintage,streetwear,formal,streetwear,0
shirt,trousers,coat,sporty,formal,sporty,sporty,1
t-shirt,cargo,hoodie,streetwear,streetwear,casual,vintage,0
t-shirt,legging,sweater,casual,casual,vintage,casual,1
shirt,skirt,hoodie,casual,formal,casual,vintage,0
shirt,legging,hoodie,streetwear,vintage,formal,formal,0
t-shirt,jeans,blazer,streetwear,streetwear,formal,streetwear,1
shirt,trousers,coat,formal,sporty,sporty,streetwear,0
shirt,trousers,coat,casual,sporty,casual,sporty,0
t-shirt,trousers,jacket,casual,vintage,vintage,formal,0
dress,none,sweater,formal,casual,formal,formal,1
shirt,jeans,coat,vintage,vintage,streetwear,vintage,1
shirt,skirt,sweater,streetwear,streetwear,casual,vintage,0
dress,none,coat,formal,streetwear,streetwear,streetwear,1
t-shirt,skirt,blazer,vintage,sporty,casual,sporty,0
shirt,trousers,blazer,casual,formal,casual,casual,1
dress,none,jacket,sporty,sporty,casual,casual,0
t-shirt,shorts,blazer,casual,casual,sporty,formal,0
t-shirt,legging,sweater,sporty,casual,streetwear,sporty,0
t-shirt,shorts,coat,vintage,sporty,sporty,sporty,1
t-shirt,trousers,coat,sporty,vintage,sporty,sporty,1
t-shirt,jogger,hoodie,casual,casual,casual,casual,1
shirt,cargo,jacket,streetwear,sporty,vintage,streetwear,0
t-shirt,shorts,jacket,streetwear,casual,casual,casual,1
shirt,shorts,jacket,formal,formal,streetwear,vintage,0
t-shirt,jogger,sweater,casual,formal,vintage,casual,0
t-shirt,legging,coat,streetwear,streetwear,formal,streetwear,1
t-shirt,skirt,sweater,casual,sporty,sporty,sporty,1
shirt,legging,sweater,formal,vintage,vintage,sporty,0
shirt,jeans,hoodie,vintage,streetwear,streetwear,streetwear,1
t-shirt,jogger,blazer,streetwear,streetwear,vintage,streetwear,1
t-shirt,skirt,blazer,vintage,vintage,vintage,vintage,1
t-shirt,legging,sweater,casual,formal,casual,streetwear,0
t-shirt,skirt,coat,sporty,casual,sporty,casual,0
t-shirt,skirt,coat,casual,casual,streetwear,casual,1
t-shirt,jogger,blazer,vintage,sporty,vintage,vintage,1
t-shirt,shorts,blazer,sporty,casual,casual,casual,1
t-shirt,legging,jacket,casual,vintage,casual,casual,1
t-shirt,legging,sweater,formal,streetwear,streetwear,streetwear,1
shirt,cargo,jacket,casual,casual,vintage,casual,1
shirt,shorts,blazer,sporty,formal,formal,streetwear,0
shirt,trousers,coat,casual,sporty,sporty,formal,0
shirt,jeans,hoodie,casual,formal,formal,streetwear,0
t-shirt,skirt,sweater,vintage,formal,casual,vintage,0
t-shirt,skirt,blazer,streetwear,sporty,sporty,sporty,1
t-shirt,cargo,coat,sporty,formal,sporty,casual,0
t-shirt,legging,jacket,formal,formal,streetwear,formal,1
shirt,jogger,jacket,casual,sporty,sporty,sporty,1
t-shirt,skirt,jacket,casual,casual,vintage,casual,1
shirt,jeans,hoodie,casual,casual,formal,streetwear,0
shirt,jeans,sweater,sporty,sporty,vintage,sporty,1
t-shirt,cargo,blazer,vintage,casual,vintage,sporty,0
shirt,jogger,hoodie,vintage,formal,formal,formal,1
t-shirt,cargo,hoodie,streetwear,formal,sporty,sporty,0
shirt,legging,sweater,vintage,sporty,formal,sporty,0
t-shirt,legging,hoodie,sporty,streetwear,streetwear,vintage,0
shirt,jeans,sweater,formal,formal,streetwear,formal,1
t-shirt,cargo,blazer,casual,streetwear,casual,sporty,0
shirt,jeans,blazer,casual,sporty,casual,casual,1
t-shirt,trousers,blazer,sporty,casual,vintage,vintage,0
shirt,skirt,coat,vintage,casual,casual,casual,1
t-shirt,jeans,coat,vintage,sporty,sporty,vintage,0
shirt,legging,hoodie,streetwear,vintage,sporty,streetwear,0
shirt,cargo,blazer,casual,sporty,sporty,sporty,1
shirt,jogger,coat,streetwear,sporty,streetwear,streetwear,1
t-shirt,jeans,hoodie,streetwear,vintage,vintage,casual,0
t-shirt,jogger,coat,streetwear,streetwear,sporty,streetwear,1
shirt,legging,coat,streetwear,vintage,streetwear,formal,0
shirt,trousers,blazer,sporty,sporty,formal,sporty,1
shirt,jeans,jacket,formal,vintage,sporty,formal,0
t-shirt,jogger,hoodie,streetwear,streetwear,vintage,streetwear,1
shirt,trousers,sweater,casual,vintage,sporty,casual,0
t-shirt,skirt,jacket,formal,formal,sporty,formal,1
shirt,trousers,sweater,vintage,vintage,casual,vintage,1
dress,none,hoodie,casual,sporty,sporty,streetwear,0
t-shirt,skirt,sweater,sporty,casual,formal,formal,0
shirt,cargo,hoodie,casual,casual,vintage,formal,0
t-shirt,legging,blazer,streetwear,sporty,sporty,sporty,1
dress,none,sweater,vintage,vintage,sporty,vintage,1
t-shirt,jogger,jacket,casual,casual,vintage,casual,1
t-shirt,trousers,sweater,vintage,casual,streetwear,streetwear,0
shirt,cargo,coat,streetwear,vintage,vintage,vintage,1
shirt,jeans,hoodie,vintage,streetwear,vintage,vintage,1
shirt,jeans,coat,casual,casual,vintage,vintage,0
shirt,cargo,blazer,sporty,formal,formal,streetwear,0
shirt,jogger,sweater,sporty,formal,formal,formal,1
shirt,shorts,blazer,sporty,sporty,vintage,formal,0
t-shirt,jogger,sweater,casual,streetwear,sporty,sporty,0
t-shirt,trousers,blazer,formal,formal,streetwear,casual,0
shirt,jeans,hoodie,vintage,vintage,formal,vintage,1
shirt,jeans,jacket,vintage,streetwear,formal,formal,0
shirt,cargo,hoodie,vintage,casual,vintage,streetwear,0
shirt,trousers,sweater,formal,streetwear,formal,formal,1
shirt,jeans,blazer,casual,sporty,streetwear,streetwear,0
shirt,jogger,hoodie,streetwear,streetwear,vintage,streetwear,1
dress,none,coat,vintage,vintage,formal,vintage,1
t-shirt,jeans,hoodie,sporty,casual,sporty,sporty,1
t-shirt,jogger,hoodie,vintage,sporty,casual,vintage,0
shirt,jogger,blazer,formal,casual,casual,casual,1
t-shirt,legging,hoodie,streetwear,streetwear,streetwear,casual,0
shirt,trousers,coat,streetwear,streetwear,sporty,formal,0
shirt,trousers,coat,streetwear,sporty,streetwear,vintage,0
t-shirt,legging,hoodie,streetwear,vintage,streetwear,streetwear,1
t-shirt,jeans,sweater,vintage,vintage,streetwear,formal,0
t-shirt,shorts,blazer,vintage,casual,streetwear,vintage,0
shirt,skirt,jacket,streetwear,casual,sporty,streetwear,0
t-shirt,cargo,jacket,vintage,casual,casual,formal,0
dress,none,sweater,sporty,formal,vintage,sporty,0
t-shirt,cargo,coat,vintage,streetwear,vintage,streetwear,0
t-shirt,jeans,blazer,streetwear,formal,formal,formal,1
t-shirt,skirt,coat,formal,casual,casual,casual,1
t-shirt,skirt,blazer,vintage,formal,casual,casual,0
t-shirt,trousers,jacket,formal,casual,formal,formal,1
shirt,legging,blazer,streetwear,sporty,streetwear,streetwear,1
t-shirt,jeans,hoodie,casual,formal,casual,casual,1
shirt,skirt,coat,formal,formal,casual,formal,1
shirt,legging,coat,sporty,formal,casual,formal,0
t-shirt,jogger,jacket,vintage,formal,streetwear,streetwear,0
t-shirt,legging,blazer,streetwear,formal,formal,formal,1
shirt,trousers,jacket,vintage,formal,vintage,formal,0
shirt,cargo,coat,streetwear,formal,streetwear,formal,0
shirt,trousers,jacket,formal,casual,sporty,formal,0
shirt,legging,sweater,casual,sporty,streetwear,streetwear,0
t-shirt,legging,sweater,sporty,streetwear,streetwear,streetwear,1
t-shirt,shorts,jacket,casual,sporty,sporty,formal,0
shirt,trousers,sweater,vintage,vintage,formal,vintage,1
shirt,cargo,hoodie,sporty,sporty,streetwear,sporty,1
dress,none,coat,formal,formal,formal,sporty,0
t-shirt,jogger,sweater,vintage,formal,vintage,vintage,1
t-shirt,trousers,sweater,casual,formal,casual,vintage,0
shirt,jogger,sweater,vintage,casual,casual,sporty,0
shirt,shorts,hoodie,streetwear,casual,casual,streetwear,0
t-shirt,cargo,hoodie,formal,vintage,casual,vintage,0
t-shirt,shorts,hoodie,streetwear,streetwear,formal,streetwear,1
t-shirt,jogger,jacket,formal,formal,streetwear,vintage,0
dress,none,hoodie,formal,vintage,formal,sporty,0
t-shirt,shorts,blazer,sporty,vintage,formal,formal,0
t-shirt,trousers,coat,casual,vintage,formal,vintage,0
shirt,shorts,hoodie,sporty,sporty,formal,sporty,1
t-shirt,shorts,coat,vintage,sporty,vintage,casual,0
shirt,legging,coat,vintage,sporty,casual,casual,0
shirt,trousers,sweater,streetwear,streetwear,casual,sporty,0
t-shirt,jeans,sweater,streetwear,sporty,formal,formal,0
t-shirt,jeans,coat,streetwear,streetwear,formal,streetwear,1
shirt,legging,coat,streetwear,formal,streetwear,streetwear,1
t-shirt,skirt,blazer,streetwear,casual,streetwear,sporty,0
t-shirt,cargo,hoodie,vintage,sporty,vintage,streetwear,0
t-shirt,shorts,blazer,streetwear,vintage,sporty,streetwear,0
shirt,skirt,jacket,vintage,formal,formal,formal,1
shirt,trousers,hoodie,casual,streetwear,sporty,sporty,0
t-shirt,jeans,coat,formal,casual,sporty,casual,0
t-shirt,jeans,sweater,casual,vintage,casual,formal,0
shirt,jogger,sweater,formal,formal,sporty,sporty,0
t-shirt,jeans,hoodie,casual,vintage,streetwear,streetwear,0
t-shirt,jogger,hoodie,casual,casual,vintage,casual,1
dress,none,jacket,vintage,streetwear,casual,casual,0
shirt,trousers,coat,casual,casual,casual,casual,1
t-shirt,jogger,blazer,sporty,formal,casual,casual,0
shirt,skirt,coat,formal,casual,casual,casual,1
t-shirt,legging,sweater,sporty,sporty,formal,streetwear,0
shirt,trousers,blazer,formal,casual,sporty,formal,0
shirt,skirt,coat,sporty,sporty,sporty,sporty,1
t-shirt,skirt,jacket,formal,sporty,formal,formal,1
shirt,skirt,coat,sporty,vintage,vintage,sporty,0
shirt,skirt,jacket,sporty,vintage,sporty,sporty,1
shirt,skirt,sweater,casual,streetwear,casual,streetwear,0
shirt,skirt,hoodie,casual,streetwear,streetwear,streetwear,1
shirt,cargo,blazer,casual,sporty,casual,casual,1
t-shirt,jogger,sweater,sporty,formal,vintage,sporty,0
dress,none,jacket,formal,vintage,vintage,vintage,1
t-shirt,legging,blazer,sporty,formal,formal,streetwear,0
shirt,trousers,sweater,sporty,casual,sporty,sporty,1
t-shirt,legging,coat,vintage,casual,casual,casual,1
shirt,jeans,jacket,vintage,vintage,formal,vintage,1
t-shirt,trousers,hoodie,formal,sporty,vintage,formal,0
t-shirt,trousers,hoodie,casual,streetwear,vintage,streetwear,0
t-shirt,cargo,blazer,casual,casual,formal,formal,0
shirt,jogger,coat,sporty,vintage,sporty,sporty,1
shirt,jogger,sweater,casual,sporty,sporty,sporty,1
shirt,skirt,jacket,formal,sporty,sporty,sporty,1
t-shirt,shorts,sweater,vintage,streetwear,sporty,streetwear,0
shirt,legging,hoodie,casual,casual,vintage,casual,1
t-shirt,jeans,coat,formal,formal,sporty,casual,0
t-shirt,skirt,hoodie,vintage,streetwear,casual,casual,0
t-shirt,shorts,coat,streetwear,streetwear,streetwear,streetwear,1
dress,none,coat,sporty,formal,formal,formal,1
shirt,trousers,blazer,streetwear,vintage,streetwear,casual,0
t-shirt,trousers,blazer,casual,streetwear,casual,streetwear,0
shirt,skirt,jacket,vintage,formal,vintage,vintage,1
shirt,shorts,sweater,streetwear,sporty,casual,sporty,0
t-shirt,jeans,hoodie,casual,casual,casual,sporty,0
t-shirt,legging,blazer,vintage,casual,sporty,casual,0
dress,none,coat,streetwear,vintage,streetwear,streetwear,1
t-shirt,skirt,sweater,vintage,vintage,casual,casual,0
t-shirt,jogger,sweater,vintage,casual,streetwear,vintage,0
shirt,jogger,coat,streetwear,formal,vintage,streetwear,0
shirt,legging,blazer,sporty,vintage,vintage,vintage,1
t-shirt,skirt,hoodie,vintage,streetwear,streetwear,vintage,0
shirt,jogger,sweater,vintage,formal,casual,casual,0
shirt,jeans,sweater,vintage,formal,formal,formal,1
shirt,jeans,jacket,casual,streetwear,casual,casual,1
shirt,jeans,coat,vintage,formal,streetwear,streetwear,0
t-shirt,trousers,sweater,formal,sporty,vintage,vintage,0
t-shirt,trousers,sweater,sporty,streetwear,sporty,streetwear,0
dress,none,jacket,streetwear,casual,formal,streetwear,0
t-shirt,cargo,jacket,vintage,vintage,vintage,formal,0
t-shirt,legging,blazer,streetwear,formal,sporty,formal,0
shirt,jeans,sweater,formal,vintage,sporty,vintage,0
t-shirt,shorts,blazer,streetwear,streetwear,sporty,streetwear,1
t-shirt,legging,blazer,formal,formal,formal,formal,1
t-shirt,jeans,sweater,formal,streetwear,streetwear,streetwear,1
t-shirt,legging,sweater,vintage,sporty,vintage,casual,0
t-shirt,trousers,blazer,casual,formal,casual,sporty,0
shirt,jogger,sweater,vintage,formal,vintage,casual,0
t-shirt,jeans,hoodie,vintage,vintage,formal,vintage,1
t-shirt,legging,coat,casual,vintage,vintage,vintage,1
shirt,skirt,sweater,casual,sporty,sporty,sporty,1
t-shirt,jogger,coat,casual,sporty,vintage,vintage,0
dress,none,hoodie,vintage,vintage,vintage,sporty,0
shirt,trousers,blazer,sporty,formal,formal,formal,1
t-shirt,cargo,coat,casual,sporty,formal,formal,0
t-shirt,legging,blazer,casual,vintage,casual,casual,1
t-shirt,jogger,hoodie,casual,vintage,casual,casual,1
shirt,jogger,sweater,streetwear,formal,formal,vintage,0
t-shirt,jogger,sweater,streetwear,streetwear,formal,streetwear,1
shirt,skirt,coat,formal,vintage,sporty,vintage,0
t-shirt,shorts,hoodie,vintage,formal,vintage,sporty,0
t-shirt,legging,blazer,sporty,sporty,streetwear,sporty,1
shirt,cargo,coat,vintage,sporty,sporty,sporty,1
shirt,legging,coat,sporty,streetwear,streetwear,sporty,0
shirt,legging,hoodie,casual,streetwear,streetwear,streetwear,1
t-shirt,cargo,hoodie,formal,streetwear,streetwear,streetwear,1
shirt,jogger,coat,formal,formal,sporty,streetwear,0
shirt,trousers,blazer,casual,formal,formal,sporty,0
t-shirt,jogger,blazer,sporty,sporty,vintage,sporty,1
t-shirt,jogger,blazer,formal,vintage,formal,formal,1
dress,none,coat,vintage,formal,streetwear,vintage,0
shirt,cargo,sweater,streetwear,streetwear,formal,formal,0
t-shirt,skirt,hoodie,streetwear,streetwear,vintage,streetwear,1
t-shirt,jeans,blazer,sporty,streetwear,sporty,sporty,1
t-shirt,jogger,jacket,casual,vintage,formal,vintage,0
t-shirt,cargo,sweater,vintage,vintage,sporty,vintage,1
t-shirt,jogger,hoodie,formal,casual,casual,formal,0
dress,none,jacket,streetwear,streetwear,casual,streetwear,1
dress,none,jacket,formal,sporty,sporty,formal,0
shirt,trousers,coat,streetwear,vintage,vintage,sporty,0
shirt,legging,coat,formal,vintage,formal,vintage,0
shirt,jogger,hoodie,casual,vintage,vintage,streetwear,0
t-shirt,skirt,jacket,casual,casual,sporty,streetwear,0
t-shirt,legging,sweater,streetwear,casual,streetwear,sporty,0
t-shirt,legging,jacket,formal,streetwear,formal,formal,1
shirt,jogger,hoodie,streetwear,casual,casual,casual,1
shirt,trousers,coat,streetwear,streetwear,vintage,streetwear,1
shirt,shorts,coat,vintage,vintage,sporty,vintage,1
t-shirt,cargo,hoodie,sporty,casual,streetwear,streetwear,0
shirt,legging,blazer,formal,casual,formal,vintage,0
dress,none,hoodie,vintage,sporty,streetwear,sporty,0
shirt,cargo,hoodie,vintage,vintage,casual,vintage,1
t-shirt,trousers,blazer,casual,casual,streetwear,vintage,0
shirt,legging,coat,formal,formal,vintage,sporty,0
shirt,trousers,blazer,sporty,vintage,sporty,sporty,1
t-shirt,jeans,sweater,streetwear,streetwear,vintage,streetwear,1
shirt,skirt,hoodie,streetwear,vintage,streetwear,sporty,0
shirt,cargo,hoodie,streetwear,streetwear,vintage,streetwear,1
t-shirt,trousers,blazer,streetwear,streetwear,casual,casual,0
shirt,trousers,hoodie,formal,streetwear,streetwear,sporty,0
shirt,shorts,coat,streetwear,streetwear,sporty,formal,0
shirt,jeans,sweater,sporty,vintage,vintage,sporty,0
t-shirt,skirt,jacket,formal,casual,formal,sporty,0
t-shirt,jogger,hoodie,vintage,casual,casual,casual,1
dress,none,coat,sporty,sporty,formal,formal,0
t-shirt,jogger,jacket,casual,casual,streetwear,casual,1
shirt,jogger,sweater,streetwear,sporty,streetwear,streetwear,1
t-shirt,skirt,coat,vintage,casual,vintage,vintage,1
shirt,cargo,sweater,formal,casual,sporty,sporty,0
t-shirt,legging,coat,vintage,formal,casual,casual,0
t-shirt,jogger,sweater,streetwear,vintage,streetwear,streetwear,1
shirt,jogger,sweater,sporty,formal,sporty,sporty,1
shirt,jogger,jacket,sporty,vintage,streetwear,streetwear,0
t-shirt,jeans,coat,casual,casual,streetwear,casual,1
dress,none,sweater,casual,streetwear,streetwear,streetwear,1
shirt,skirt,blazer,sporty,vintage,streetwear,streetwear,0
t-shirt,cargo,jacket,streetwear,formal,streetwear,streetwear,1
t-shirt,legging,sweater,streetwear,streetwear,sporty,streetwear,1
shirt,legging,coat,casual,casual,formal,casual,1
t-shirt,jeans,sweater,sporty,streetwear,streetwear,streetwear,1
t-shirt,cargo,hoodie,casual,casual,vintage,vintage,0
shirt,shorts,coat,sporty,formal,formal,formal,1
t-shirt,cargo,blazer,formal,casual,vintage,vintage,0
shirt,skirt,jacket,sporty,streetwear,sporty,formal,0
dress,none,jacket,streetwear,casual,vintage,casual,0
shirt,shorts,coat,casual,sporty,vintage,casual,0
t-shirt,shorts,sweater,sporty,casual,sporty,formal,0
t-shirt,trousers,blazer,streetwear,vintage,streetwear,casual,0
t-shirt,shorts,jacket,sporty,vintage,vintage,sporty,0
shirt,cargo,coat,formal,casual,casual,vintage,0
shirt,trousers,jacket,formal,streetwear,formal,formal,1
shirt,trousers,sweater,casual,sporty,casual,casual,1
t-shirt,jeans,jacket,streetwear,streetwear,formal,streetwear,1
t-shirt,jogger,jacket,formal,vintage,formal,formal,1
shirt,jogger,coat,vintage,sporty,vintage,vintage,1
shirt,shorts,sweater,casual,sporty,streetwear,streetwear,0
